sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2892,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2893,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2894,biased,0.09,0101,IZIII,ZIIII,ZZIII,1111,-1,0
2895,biased,0.09,1000,IIZZX,IXIII,IXZZX,0000,-1,0
2896,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2897,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2898,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2899,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2900,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2901,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2902,biased,0.09,0010,IIZII,IXIII,IXZII,1010,-1,0
2903,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2904,biased,0.09,1111,IIIYI,IZIII,IZIYI,1010,-1,0
2905,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2906,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2907,biased,0.09,0011,IIIIX,IIIIX,IIIII,0000,1,1
2908,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2909,biased,0.09,1010,ZIIII,ZIIII,IIIII,0000,1,1
2910,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2911,biased,0.09,0001,XIIII,XIIII,IIIII,0000,1,1
2912,biased,0.09,1101,IYIII,IZIII,IXIII,1000,-1,0
2913,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2914,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2915,biased,0.09,0110,IIIXI,IIYII,IIYXI,1000,-1,0
2916,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2917,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2918,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2919,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2920,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2921,biased,0.09,1100,IIXII,IIIYI,IIXYI,0011,-1,0
2922,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
2923,biased,0.09,1001,IIIZI,YIIII,YIIZI,0010,-1,0
2924,biased,0.09,1011,YIIII,XIIII,ZIIII,1010,-1,0
2925,biased,0.09,0000,IIIII,IIIII,IIIII,0000,1,1
