sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2004,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2005,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2006,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2007,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2008,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2009,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2010,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2011,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2012,bitflip,0.07,1010,IIXXI,XIIII,XIXXI,1011,-1,0
2013,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2014,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2015,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2016,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2017,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2018,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2019,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2020,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2021,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2022,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2023,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2024,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2025,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2026,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2027,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2028,bitflip,0.07,0010,XIIIX,XIIII,IIIIX,0011,-1,0
2029,bitflip,0.07,1000,IXIII,IXIII,IIIII,0000,1,1
2030,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2031,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2032,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2033,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2034,bitflip,0.07,1101,XIXII,YIIII,ZIXII,0110,-1,0
2035,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2036,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2037,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2038,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2039,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2040,bitflip,0.07,0110,IIIXI,IIIXI,IIIII,0000,1,1
2041,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2042,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2043,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2044,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2045,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2046,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2047,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2048,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2049,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2050,bitflip,0.07,1100,IIXII,IYIII,IYXII,0001,-1,0
2051,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2052,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2053,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2054,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2055,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2056,bitflip,0.07,0000,IIIII,IIIII,IIIII,0000,1,1
2057,bitflip,0.07,0011,IIIIX,IZIII,IZIIX,0110,-1,0
2058,bitflip,0.07,1111,IIXIX,IXIII,IXXIX,0111,-1,0
