sample_id,noise,p,state_syndrome,true_error,action,corrected_error,next_syndrome,reward,success
2595,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2596,depolarizing,0.05,1010,IIXXI,XIIII,XIXXI,1011,-1,0
2597,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2598,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2599,depolarizing,0.05,0001,IIIXY,XIIII,XIIXY,0000,-1,0
2600,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2601,depolarizing,0.05,1010,ZIIII,XIIII,YIIII,1011,-1,0
2602,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2603,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
2604,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2605,depolarizing,0.05,1110,IIYII,IZIII,IZYII,1011,-1,0
2606,depolarizing,0.05,1110,IIYII,IZIII,IZYII,1011,-1,0
2607,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2608,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2609,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2610,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2611,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2612,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2613,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2614,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2615,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2616,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2617,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2618,depolarizing,0.05,0001,XIIII,XIIII,IIIII,0000,1,1
2619,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2620,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2621,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2622,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2623,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2624,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2625,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2626,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2627,depolarizing,0.05,1111,IIIYI,IIYII,IIYYI,0001,-1,0
2628,depolarizing,0.05,0001,XIIII,XIIII,IIIII,0000,1,1
2629,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2630,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2631,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2632,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2633,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2634,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2635,depolarizing,0.05,0001,XIIII,XIIII,IIIII,0000,1,1
2636,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2637,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2638,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2639,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2640,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2641,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2642,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2643,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2644,depolarizing,0.05,1000,IXIII,IXIII,IIIII,0000,1,1
2645,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2646,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2647,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2648,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2649,depolarizing,0.05,0001,XIIII,XIIII,IIIII,0000,1,1
2650,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2651,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2652,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2653,depolarizing,0.05,0011,IIIIX,IXIII,IXIIX,1011,-1,0
2654,depolarizing,0.05,1000,IXIII,IXIII,IIIII,0000,1,1
2655,depolarizing,0.05,0110,IIIXI,IIIIY,IIIXY,0001,-1,0
2656,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
2657,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2658,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2659,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2660,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2661,depolarizing,0.05,0101,IZIII,IZIII,IIIII,0000,1,1
2662,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2663,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2664,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2665,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2666,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2667,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2668,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2669,depolarizing,0.05,0100,IIIIZ,YIIII,YIIIZ,1111,-1,0
2670,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2671,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2672,depolarizing,0.05,1010,ZIIII,XIIII,YIIII,1011,-1,0
2673,depolarizing,0.05,0110,IIIXI,IIIIY,IIIXY,0001,-1,0
2674,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2675,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2676,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2677,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2678,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2679,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2680,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2681,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2682,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2683,depolarizing,0.05,0101,IZIII,IZIII,IIIII,0000,1,1
2684,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2685,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2686,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2687,depolarizing,0.05,0101,IZIII,IZIII,IIIII,0000,1,1
2688,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2689,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2690,depolarizing,0.05,0101,IZIII,IZIII,IIIII,0000,1,1
2691,depolarizing,0.05,0010,IIZII,YIIII,YIZII,1001,-1,0
2692,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2693,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2694,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2695,depolarizing,0.05,0111,IIIIY,IXIII,IXIIY,1111,-1,0
2696,depolarizing,0.05,1110,IIYII,IZIII,IZYII,1011,-1,0
2697,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2698,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2699,depolarizing,0.05,0111,IIIIY,IXIII,IXIIY,1111,-1,0
2700,depolarizing,0.05,1000,XIIZI,IXIII,XXIZI,0000,-1,0
2701,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2702,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2703,depolarizing,0.05,0110,IIIXI,IIIIY,IIIXY,0001,-1,0
2704,depolarizing,0.05,0101,IZIII,IZIII,IIIII,0000,1,1
2705,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2706,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2707,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2708,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2709,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2710,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2711,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2712,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2713,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2714,depolarizing,0.05,1111,IIIYI,IIYII,IIYYI,0001,-1,0
2715,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
2716,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2717,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2718,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2719,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2720,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2721,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2722,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2723,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2724,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2725,depolarizing,0.05,1100,IIXII,IYIII,IYXII,0001,-1,0
2726,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2727,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2728,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2729,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2730,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2731,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2732,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2733,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2734,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2735,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2736,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2737,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2738,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2739,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2740,depolarizing,0.05,1001,IIIZI,IXIII,IXIZI,0001,-1,0
2741,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2742,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2743,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2744,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2745,depolarizing,0.05,1011,YIIII,YIIII,IIIII,0000,1,1
2746,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2747,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2748,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2749,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2750,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2751,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2752,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2753,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2754,depolarizing,0.05,1110,IIYII,IZIII,IZYII,1011,-1,0
2755,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2756,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2757,depolarizing,0.05,0100,IIIIZ,YIIII,YIIIZ,1111,-1,0
2758,depolarizing,0.05,1101,IYIII,IIIIY,IYIIY,1010,-1,0
2759,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2760,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
2761,depolarizing,0.05,0000,IIIII,IIIII,IIIII,0000,1,1
